date,store_id,product_category,price,promotion_active,holiday_flag,demand
2022-01-01,Store_A,Beverages,12.07,1,0,104
2022-01-02,Store_A,Beverages,12.58,0,0,95
2022-01-03,Store_A,Beverages,11.29,1,0,107
2022-01-04,Store_A,Beverages,12.58,0,0,73
2022-01-05,Store_A,Beverages,12.19,0,0,68
2022-01-06,Store_A,Beverages,11.45,1,0,83
2022-01-07,Store_A,Beverages,12.58,0,0,63
2022-01-08,Store_A,Beverages,11.65,0,0,95
2022-01-09,Store_A,Beverages,12.54,0,0,91
2022-01-10,Store_A,Beverages,13.01,0,0,80
2022-01-11,Store_A,Beverages,12.2,0,0,75
2022-01-12,Store_A,Beverages,12.17,0,0,79
2022-01-13,Store_A,Beverages,12.31,0,0,55
2022-01-14,Store_A,Beverages,12.44,1,0,69
2022-01-15,Store_A,Beverages,12.04,0,0,96
2022-01-16,Store_A,Beverages,12.88,0,0,79
2022-01-17,Store_A,Beverages,11.5,0,0,69
2022-01-18,Store_A,Beverages,11.31,0,0,67
2022-01-19,Store_A,Beverages,12.28,0,0,52
2022-01-20,Store_A,Beverages,12.49,0,0,36
2022-01-21,Store_A,Beverages,12.62,0,0,49
2022-01-22,Store_A,Beverages,13.23,0,0,68
2022-01-23,Store_A,Beverages,12.23,0,0,92
2022-01-24,Store_A,Beverages,12.75,1,0,84
2022-01-25,Store_A,Beverages,11.73,0,0,55
2022-01-26,Store_A,Beverages,12.19,1,0,79
2022-01-27,Store_A,Beverages,11.8,0,0,52
2022-01-28,Store_A,Beverages,12.45,0,0,37
2022-01-29,Store_A,Beverages,12.43,0,0,70
2022-01-30,Store_A,Beverages,11.02,0,0,89
2022-01-31,Store_A,Beverages,13.03,0,0,64
2022-02-01,Store_A,Beverages,12.19,0,0,88
2022-02-02,Store_A,Beverages,11.66,0,0,65
2022-02-03,Store_A,Beverages,12.09,1,0,76
2022-02-04,Store_A,Beverages,12.24,0,0,48
2022-02-05,Store_A,Beverages,11.35,0,0,76
2022-02-06,Store_A,Beverages,13.45,1,0,111
2022-02-07,Store_A,Beverages,11.5,0,0,85
2022-02-08,Store_A,Beverages,12.87,0,0,72
2022-02-09,Store_A,Beverages,11.53,0,0,78
2022-02-10,Store_A,Beverages,10.98,1,0,87
2022-02-11,Store_A,Beverages,11.21,0,0,64
2022-02-12,Store_A,Beverages,12.93,0,0,81
2022-02-13,Store_A,Beverages,12.39,0,0,95
2022-02-14,Store_A,Beverages,12.03,0,0,107
2022-02-15,Store_A,Beverages,11.88,0,0,63
2022-02-16,Store_A,Beverages,13.24,0,0,61
2022-02-17,Store_A,Beverages,11.94,0,0,60
2022-02-18,Store_A,Beverages,13.07,1,0,77
2022-02-19,Store_A,Beverages,12.65,0,0,64
2022-02-20,Store_A,Beverages,11.03,0,0,80
2022-02-21,Store_A,Beverages,11.91,1,0,105
2022-02-22,Store_A,Beverages,11.4,1,0,91
2022-02-23,Store_A,Beverages,12.05,0,0,52
2022-02-24,Store_A,Beverages,11.51,0,0,42
2022-02-25,Store_A,Beverages,11.72,0,0,44
2022-02-26,Store_A,Beverages,12.28,0,0,72
2022-02-27,Store_A,Beverages,11.98,0,0,77
2022-02-28,Store_A,Beverages,11.38,0,0,101
2022-03-01,Store_A,Beverages,11.79,0,0,76
2022-03-02,Store_A,Beverages,13.05,0,0,56
2022-03-03,Store_A,Beverages,12.48,1,0,73
2022-03-04,Store_A,Beverages,12.01,0,0,37
2022-03-05,Store_A,Beverages,12.95,1,0,107
2022-03-06,Store_A,Beverages,11.38,0,0,96
2022-03-07,Store_A,Beverages,11.02,0,0,72
2022-03-08,Store_A,Beverages,13.15,0,0,69
2022-03-09,Store_A,Beverages,11.13,0,0,74
2022-03-10,Store_A,Beverages,12.63,0,0,58
2022-03-11,Store_A,Beverages,12.37,0,0,74
2022-03-12,Store_A,Beverages,11.96,0,0,91
2022-03-13,Store_A,Beverages,12.86,0,0,107
2022-03-14,Store_A,Beverages,12.84,0,0,79
2022-03-15,Store_A,Beverages,12.31,1,0,103
2022-03-16,Store_A,Beverages,11.05,0,0,66
2022-03-17,Store_A,Beverages,12.5,0,0,55
2022-03-18,Store_A,Beverages,12.49,1,0,66
2022-03-19,Store_A,Beverages,10.9,0,0,83
2022-03-20,Store_A,Beverages,12.02,0,0,97
2022-03-21,Store_A,Beverages,9.95,0,0,91
2022-03-22,Store_A,Beverages,12.53,0,0,55
2022-03-23,Store_A,Beverages,13.06,0,0,33
2022-03-24,Store_A,Beverages,11.33,0,0,39
2022-03-25,Store_A,Beverages,13.45,1,0,47
2022-03-26,Store_A,Beverages,12.02,1,0,102
2022-03-27,Store_A,Beverages,12.29,1,0,99
2022-03-28,Store_A,Beverages,12.73,0,0,61
2022-03-29,Store_A,Beverages,12.27,0,0,68
2022-03-30,Store_A,Beverages,11.13,0,0,56
2022-03-31,Store_A,Beverages,12.94,0,0,45
2022-04-01,Store_A,Beverages,11.35,1,0,79
2022-04-02,Store_A,Beverages,10.9,0,0,91
2022-04-03,Store_A,Beverages,13.39,0,0,98
2022-04-04,Store_A,Beverages,12.02,0,0,73
2022-04-05,Store_A,Beverages,11.48,1,0,104
2022-04-06,Store_A,Beverages,11.66,0,0,83
2022-04-07,Store_A,Beverages,11.25,0,0,83
2022-04-08,Store_A,Beverages,11.52,0,0,57
2022-04-09,Store_A,Beverages,12.48,1,0,119
2022-04-10,Store_A,Beverages,12.08,0,0,101
2022-04-11,Store_A,Beverages,10.85,0,0,97
2022-04-12,Store_A,Beverages,11.02,0,0,90
2022-04-13,Store_A,Beverages,12.62,0,0,62
2022-04-14,Store_A,Beverages,11.62,0,0,59
2022-04-15,Store_A,Beverages,12.03,0,0,50
2022-04-16,Store_A,Beverages,13.06,0,0,65
2022-04-17,Store_A,Beverages,10.45,0,0,107
2022-04-18,Store_A,Beverages,10.85,0,0,77
2022-04-19,Store_A,Beverages,11.32,0,0,77
2022-04-20,Store_A,Beverages,10.63,0,0,68
2022-04-21,Store_A,Beverages,12.0,1,0,65
2022-04-22,Store_A,Beverages,12.26,0,0,45
2022-04-23,Store_A,Beverages,12.76,0,0,84
2022-04-24,Store_A,Beverages,14.13,0,0,80
2022-04-25,Store_A,Beverages,13.08,0,0,70
2022-04-26,Store_A,Beverages,11.75,1,0,92
2022-04-27,Store_A,Beverages,11.48,0,0,47
2022-04-28,Store_A,Beverages,12.78,0,0,42
2022-04-29,Store_A,Beverages,12.27,0,0,41
2022-04-30,Store_A,Beverages,13.0,0,0,67
2022-05-01,Store_A,Beverages,12.15,0,0,104
2022-05-02,Store_A,Beverages,11.4,0,0,72
2022-05-03,Store_A,Beverages,11.64,1,0,109
2022-05-04,Store_A,Beverages,12.22,0,0,77
2022-05-05,Store_A,Beverages,11.17,0,0,54
2022-05-06,Store_A,Beverages,10.82,0,0,64
2022-05-07,Store_A,Beverages,12.71,0,0,103
2022-05-08,Store_A,Beverages,11.27,0,0,110
2022-05-09,Store_A,Beverages,11.94,0,0,89
2022-05-10,Store_A,Beverages,13.03,0,0,89
2022-05-11,Store_A,Beverages,11.86,0,0,75
2022-05-12,Store_A,Beverages,11.36,0,0,51
2022-05-13,Store_A,Beverages,12.37,0,0,66
2022-05-14,Store_A,Beverages,12.43,1,0,105
2022-05-15,Store_A,Beverages,12.12,0,0,95
2022-05-16,Store_A,Beverages,11.91,0,0,84
2022-05-17,Store_A,Beverages,11.45,0,0,72
2022-05-18,Store_A,Beverages,12.06,0,0,73
2022-05-19,Store_A,Beverages,12.96,0,0,24
2022-05-20,Store_A,Beverages,12.24,1,0,76
2022-05-21,Store_A,Beverages,12.81,1,0,92
2022-05-22,Store_A,Beverages,11.91,0,0,89
2022-05-23,Store_A,Beverages,11.9,0,0,78
2022-05-24,Store_A,Beverages,12.02,0,0,66
2022-05-25,Store_A,Beverages,12.67,0,0,47
2022-05-26,Store_A,Beverages,12.12,0,0,43
2022-05-27,Store_A,Beverages,13.2,1,0,68
2022-05-28,Store_A,Beverages,12.7,0,0,80
2022-05-29,Store_A,Beverages,13.07,0,0,83
2022-05-30,Store_A,Beverages,12.93,1,0,93
2022-05-31,Store_A,Beverages,12.52,0,0,66
2022-06-01,Store_A,Beverages,11.05,0,0,58
2022-06-02,Store_A,Beverages,12.23,0,0,55
2022-06-03,Store_A,Beverages,11.66,0,0,63
2022-06-04,Store_A,Beverages,11.68,0,0,96
2022-06-05,Store_A,Beverages,11.64,1,0,138
2022-06-06,Store_A,Beverages,10.75,0,0,108
2022-06-07,Store_A,Beverages,13.19,0,0,80
2022-06-08,Store_A,Beverages,10.77,0,0,70
2022-06-09,Store_A,Beverages,11.62,0,0,59
2022-06-10,Store_A,Beverages,11.92,0,0,61
2022-06-11,Store_A,Beverages,12.24,1,0,100
2022-06-12,Store_A,Beverages,11.32,0,0,105
2022-06-13,Store_A,Beverages,11.02,0,0,87
2022-06-14,Store_A,Beverages,12.73,1,0,91
2022-06-15,Store_A,Beverages,12.21,0,0,62
2022-06-16,Store_A,Beverages,12.19,0,0,58
2022-06-17,Store_A,Beverages,12.33,0,0,44
2022-06-18,Store_A,Beverages,12.39,0,0,78
2022-06-19,Store_A,Beverages,12.24,1,0,118
2022-06-20,Store_A,Beverages,13.03,0,0,65
2022-06-21,Store_A,Beverages,12.64,0,0,56
2022-06-22,Store_A,Beverages,10.88,1,0,72
2022-06-23,Store_A,Beverages,11.72,0,0,60
2022-06-24,Store_A,Beverages,11.98,1,0,73
2022-06-25,Store_A,Beverages,12.79,1,0,94
2022-06-26,Store_A,Beverages,11.31,1,0,123
2022-06-27,Store_A,Beverages,12.19,0,0,78
2022-06-28,Store_A,Beverages,12.35,1,0,95
2022-06-29,Store_A,Beverages,12.3,0,0,54
2022-06-30,Store_A,Beverages,13.25,0,0,41
2022-07-01,Store_A,Beverages,12.17,0,0,71
2022-07-02,Store_A,Beverages,11.2,0,0,112
2022-07-03,Store_A,Beverages,12.58,0,0,113
2022-07-04,Store_A,Beverages,12.43,0,0,100
2022-07-05,Store_A,Beverages,12.55,1,0,113
2022-07-06,Store_A,Beverages,11.72,1,0,99
2022-07-07,Store_A,Beverages,11.59,0,0,59
2022-07-08,Store_A,Beverages,12.15,1,0,98
